,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells,nor_intensity,nor_length
13,0,75,405.3939393939394,380.8484848484849,6.937718747138248,2,3.2,0.7073170731707317,11711.4609375,2239.446052148938,32.169908772759484,20.10619298297468,256.0,804.247719318987,9472.014885351062,1,0.4426081787835878,0.64
80,0,294,754.3888888888889,507.25,7.717166101518955,1,3.2,0.825,10318.203125,2383.7003166098148,32.169908772759484,20.10619298297468,256.0,804.247719318987,7934.502808390185,1,0.3707633360042679,0.64
76,0,290,751.7631578947369,415.10526315789474,7.591366157845929,1,3.2,0.7441860465116279,11569.814453125,1855.1121879043055,32.169908772759484,20.10619298297468,256.0,804.247719318987,9714.702265220694,1,0.4539484712681343,0.64
72,0,281,737.3636363636364,521.0681818181819,9.157125918795405,1,4.0,0.7547169811320755,12968.265625,3264.209166228422,50.26548245743669,25.132741228718345,320.0,1005.309649148734,9704.056458771578,1,0.45345101417361333,0.8
68,0,269,725.5428571428571,419.0857142857143,7.80946401355337,1,3.2,0.7560975609756098,11172.927734375,2555.8523161057383,32.169908772759484,20.10619298297468,256.0,804.247719318987,8617.075418269262,1,0.4026585793503663,0.64
50,0,218,694.5434782608696,466.7173913043478,8.041430384847022,2,4.2,0.7457627118644068,15502.8203125,3248.134200487286,55.41769440932395,26.389378290154266,336.0,1055.5751316061703,12254.686112012714,1,0.5726368008554331,0.8400000000000001
65,0,260,713.4516129032259,429.5806451612903,6.425754631219991,1,3.2,0.7435897435897436,12402.51171875,1853.8725679907948,32.169908772759484,20.10619298297468,256.0,804.247719318987,10548.639150759203,1,0.492916662365416,0.64
51,0,228,709.1851851851852,608.7037037037037,8.96804550276229,2,4.300000000000001,0.796875,16630.263671875,4115.84106350143,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,12514.42260837357,1,0.5847737642163863,0.8600000000000001
53,0,223,723.3076923076923,474.0384615384616,7.481289615392453,4,3.0,0.71875,7391.728515625,2065.367388022598,28.274333882308134,18.84955592153876,240.0,753.9822368615504,5326.361127602402,1,0.24889012810545438,0.6
47,0,210,708.25,430.0357142857143,6.990217866013827,4,3.0,0.78125,9221.4609375,1613.6350166625923,28.274333882308134,18.84955592153876,240.0,753.9822368615504,7607.825920837407,1,0.3554983829820718,0.6
39,0,181,676.6964285714286,419.4285714285714,9.447788238174512,4,4.2,0.765625,15319.73046875,4403.5833221348,55.41769440932395,26.389378290154266,336.0,1055.5751316061703,10916.1471466152,1,0.5100895708440327,0.8400000000000001
32,0,138,577.2,346.9142857142857,7.038987499660732,4,3.7,0.7021276595744681,13459.8359375,1845.2331215143204,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,11614.60281598568,1,0.542726997571396,0.74
29,0,127,545.0,369.0,6.8339375694179925,4,3.2,1.0,13695.283203125,2006.8551721386607,32.169908772759484,20.10619298297468,256.0,804.247719318987,11688.42803098634,1,0.5461767011830619,0.64
27,0,116,503.6923076923077,347.11538461538464,6.166056295965654,4,2.9000000000000004,0.7586206896551724,9183.8818359375,1241.2788037327118,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,7942.603032204788,1,0.3711418431491274,0.5800000000000001
24,0,108,473.38235294117646,361.2647058823529,7.061039841152527,4,3.2,0.8205128205128205,12324.3056640625,2225.800444376422,32.169908772759484,20.10619298297468,256.0,804.247719318987,10098.505219686078,1,0.4718828103442271,0.64
50,0,223,713.0666666666667,429.3666666666667,6.461274091172855,3,3.0,0.7878787878787878,10726.708984375,1820.4623794388024,28.274333882308134,18.84955592153876,240.0,753.9822368615504,8906.246604936197,1,0.4161709665073252,0.6
47,0,210,694.34,465.78,9.243951800244616,3,4.300000000000001,0.7076923076923077,16090.021484375,3398.6719827475026,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,12691.349501627496,1,0.5930412016041872,0.8600000000000001
41,0,201,683.5151515151515,497.09090909090907,7.323585645767282,3,3.2,0.7948717948717948,11233.732421875,2278.321029240382,32.169908772759484,20.10619298297468,256.0,804.247719318987,8955.411392634618,1,0.418468338017703,0.64
30,0,145,577.5142857142857,347.0,7.135227480892143,3,3.2,0.8461538461538461,12235.9931640625,1784.446406068746,32.169908772759484,20.10619298297468,256.0,804.247719318987,10451.546757993754,1,0.48837973039731725,0.64
29,0,139,562.8157894736842,347.10526315789474,8.101968788198151,3,3.2,0.7045454545454546,10193.359375,1677.909476566943,32.169908772759484,20.10619298297468,256.0,804.247719318987,8515.449898433057,1,0.39790982348405085,0.64
26,0,135,544.1818181818181,369.45454545454544,6.803524385838588,3,3.2,0.7948717948717948,13772.8291015625,1659.180738830939,32.169908772759484,20.10619298297468,256.0,804.247719318987,12113.64836273156,1,0.5660463908840964,0.64
22,0,108,458.3571428571428,357.35714285714283,6.779750089457641,3,2.9000000000000004,0.7666666666666667,7682.19873046875,1716.630519526734,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,5965.568210942016,1,0.2787589877353165,0.5800000000000001
