,label,x,y,major,minor,area,bbox,intensities,r,nor_intensity,nor_area,nor_r,nor_r2,cells
0,29,554.3295455,404.2386364,11.39824274,9.93499016,88,"(549, 400, 561, 410)",68739.195,10.66661645,1,1,1,1,9
0,32,596.0638298,747.787234,8.301785156,7.198804109,47,"(593, 744, 600, 752)",44052.875,7.750294633,0.6408698,0.534090909,0.726593543,0.527938176,9
0,33,608.7142857,65,3.023715784,2.799416849,7,"(608, 64, 611, 67)",7112.1094,2.911566316,0.103465125,0.079545455,0.272960627,0.074507504,9
0,34,613.1025641,207.6410256,7.276736615,6.823678056,39,"(610, 205, 617, 212)",37388.547,7.050207335,0.5439189,0.443181818,0.66096005,0.436868187,9
0,35,626.75,342.3611111,7.712646928,6.007938438,36,"(623, 339, 631, 346)",28612.293,6.860292683,0.4162442,0.409090909,0.643155467,0.413648955,9
0,4,820.6428571,798.6428571,6.162985436,5.77620544,28,"(818, 796, 824, 802)",35334.082,5.969595438,0.2404457,0.259259259,0.503614941,0.253628009,10
0,17,942.7407407,565.0493827,11.18936316,9.275201711,81,"(938, 561, 949, 570)",110968.94,10.23228244,0.75513506,0.75,0.863229404,0.745165005,10
0,26,980.0277778,489.0092593,12.46730637,11.23967669,108,"(974, 483, 987, 496)",146952.44,11.85349153,1,1,1,1,10
0,28,978.2857143,466,3.023715784,2.799416849,7,"(977, 465, 980, 468)",10134.627,2.911566316,0.06896535,0.064814815,0.245629426,0.060333815,10
0,29,977.875,531.125,3.464101615,2.738612788,8,"(977, 530, 980, 533)",9574.222,3.101357201,0.06515184,0.074074074,0.261640816,0.068455917,10
0,30,1010.32,347.76,5.993871252,5.298443868,25,"(1008, 345, 1014, 351)",31441.584,5.64615756,0.21395755,0.231481481,0.476328645,0.226888978,10
0,1,124,809.5,6.201736729,5.203549085,26,"(122, 807, 127, 813)",47982.65,5.702642907,0.31448868,0.254901961,0.498408973,0.248411504,11
0,3,247.6666667,704.7708333,8.743192905,7.019391399,48,"(244, 702, 252, 709)",62812.023,7.881292152,0.41168362,0.470588235,0.688822146,0.474475949,11
0,5,288.8666667,498.4666667,4.618802154,4.061745656,15,"(287, 497, 292, 501)",24208.195,4.340273905,0.15866576,0.147058824,0.379338404,0.143897625,11
0,7,297.6764706,527.1666667,12.29839137,10.58499643,102,"(292, 522, 304, 533)",152573.53,11.4416939,1,1,1,1,11
0,8,305.6153846,380.6153846,4.318667338,3.679464844,13,"(304, 379, 308, 383)",15399.658,3.999066091,0.100932695,0.12745098,0.349516962,0.122162107,11
0,11,329.75,123.375,4.837183753,4.16553158,16,"(328, 122, 333, 126)",20539.28,4.501357666,0.1346189,0.156862745,0.393417068,0.154776989,11
