,index,label,x,y,threshold,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
166,0,520,644.8666666666667,745.1,101.15451049804688,7.136148987094561,0,3.2,0.717948717948718,5023.865234375,2133.113265757449,32.169908772759484,20.106192982974676,256.0,804.247719318987,2890.751968617551,1
167,0,524,647.1354166666666,980.0520833333334,101.15451049804688,15.879015388998925,0,5.1000000000000005,0.7475728155339806,16788.92578125,2539.9797814545454,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,14248.945999795455,1
171,0,549,661.4222222222222,824.6,101.15451049804688,9.075077870909913,0,4.0,0.7407407407407407,9237.40234375,1793.191688831197,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,7444.210654918803,1
173,0,556,664.8958333333334,949.5208333333334,101.15451049804688,8.755603917780038,0,4.2,0.7213114754098361,9193.1904296875,2029.127415400464,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,7164.063014287036,1
175,0,561,666.8048780487804,980.560975609756,101.15451049804688,8.414481519529824,0,4.0,0.7307692307692307,8346.9150390625,1623.4702166756615,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,6723.4448223868385,1
177,0,563,668.0350877192982,858.6315789473684,101.15451049804688,8.890752652790747,0,4.300000000000001,0.8153846153846154,12289.80078125,3359.1401741427835,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,8930.660607107216,1
178,0,565,667.4642857142857,779.1071428571429,101.15451049804688,6.667839768874255,0,2.9000000000000004,0.7666666666666667,4167.31103515625,1058.0644778208807,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,3109.2465573353693,1
183,0,584,676.0806451612904,1269.3709677419354,101.15451049804688,10.124849932236822,0,4.300000000000001,0.8088235294117647,11987.3349609375,2352.164223337546,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,9635.170737599954,1
187,0,599,680.0344827586207,421.3103448275862,101.15451049804688,7.154677219567219,0,3.2,0.7368421052631579,5858.08447265625,1809.1735043292865,32.169908772759484,20.106192982974676,256.0,804.247719318987,4048.9109683269635,1
188,0,606,683.2051282051282,644.2820512820513,101.15451049804688,8.262416448417,0,3.2,0.7674418604651163,7994.3369140625,1874.9432524936274,32.169908772759484,20.106192982974676,256.0,804.247719318987,6119.393661568873,1
189,0,614,686.3469387755102,778.3061224489796,101.15451049804688,8.72008957280761,0,4.0,0.8148148148148148,9828.5498046875,1898.9661269439384,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,7929.583677743562,1
191,0,618,688.0344827586207,952.2931034482758,101.15451049804688,9.459304086516974,0,4.300000000000001,0.859375,14199.2626953125,2443.78031126922,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,11755.48238404328,1
195,0,635,699.0103092783505,722.2061855670103,101.15451049804688,12.259460046748753,0,5.9,0.7457627118644068,22309.599609375,2944.2423543059267,109.3588402714607,37.07079331235956,472.00000000000006,1482.8317324943825,19365.357255069073,1
199,0,648,701.8285714285714,681.1142857142858,101.15451049804688,9.823168197239305,0,4.5,0.8051948051948052,18733.650390625,2543.727038123645,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,16189.923352501355,1
202,0,653,706.1896551724138,697.0344827586207,101.15451049804688,9.841716178742923,0,4.300000000000001,0.8307692307692308,13646.841796875,2378.8539532844443,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,11267.987843590556,1
204,0,663,713.6301369863014,756.068493150685,101.15451049804688,10.027290046235679,0,4.5,0.8205128205128205,16523.240234375,2027.3873381065205,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,14495.85289626848,1
205,0,664,711.6842105263158,932.3157894736842,101.15451049804688,7.686392865610207,0,3.7,0.7659574468085106,8906.384765625,1552.2028556966688,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7354.181909928331,1
210,0,692,737.4666666666667,880.2444444444444,101.15451049804688,8.91317081906834,0,3.7,0.7647058823529411,9593.986328125,1436.1115738859735,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,8157.8747542390265,1
211,0,693,736.6538461538462,556.0,101.15451049804688,6.492464878549775,0,2.9000000000000004,0.7586206896551724,4877.1357421875,824.479901092127,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,4052.655841095373,1
