,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
58,0,220,546.0677966101695,490.1694915254237,9.604989455377998,2,4.300000000000001,0.8461538461538461,18063.359375,2403.627668526955,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,15659.731706473045,2
62,0,228,552.4285714285714,215.26530612244898,9.39734499822221,2,4.0,0.7818181818181819,11164.212890625,1709.0076091692608,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,9455.20528145574,2
63,0,235,559.3563218390805,482.5977011494253,13.205598417119273,2,5.1000000000000005,0.7425742574257426,22695.62890625,3862.1735365530476,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,18833.455369696952,2
72,0,251,568.1785714285714,606.2857142857143,7.571594745986627,2,3.0,0.7272727272727273,7084.02783203125,1182.844877996482,28.274333882308138,18.84955592153876,240.0,753.9822368615504,5901.182954034768,2
76,0,271,580.5147058823529,513.3970588235294,11.014939108798426,2,4.5,0.7792207792207793,19459.01171875,2935.589210176491,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,16523.42250857351,2
80,0,286,592.0196078431372,401.37254901960785,8.922874312297719,2,4.0,0.8181818181818182,12431.8203125,1932.2885796575574,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,10499.531732842443,2
83,0,290,591.2222222222222,692.4722222222222,8.106764870700665,2,3.2,0.7380952380952381,8486.4404296875,1563.943295031786,32.169908772759484,20.106192982974676,256.0,804.247719318987,6922.497134655714,2
84,0,298,598.1506849315068,645.5342465753424,11.250242832499909,2,4.5,0.7974683544303798,18663.583984375,2580.957006270066,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,16082.626978104934,2
85,0,300,599.4102564102565,255.64102564102564,8.004586225710687,2,3.2,0.7674418604651163,10411.8779296875,1919.8618965497008,32.169908772759484,20.106192982974676,256.0,804.247719318987,8492.0160331378,2
100,0,351,635.3913043478261,508.30434782608694,8.79663892262044,2,4.0,0.7924528301886793,12000.607421875,1800.8404987491667,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,10199.766923125833,2
104,0,357,643.4302325581396,400.19767441860466,13.417381794367586,2,5.0,0.7553191489361702,23157.734375,3329.3571860936936,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,19828.377188906306,2
112,0,383,667.76,601.56,8.43453341249906,2,4.0,0.7368421052631579,12296.2998046875,2174.3840082651004,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,10121.9157964224,2
113,0,390,672.5116279069767,322.3255813953488,8.396039879438595,2,3.7,0.7959183673469388,11772.431640625,2874.297959167161,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,8898.133681457839,2
120,0,408,687.3055555555555,336.3611111111111,8.492608965649705,2,3.7,0.723404255319149,9876.244140625,1923.94031023141,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7952.30383039359,2
