LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID811349,811349,139,19.53174591064453,8.521572504634015,12.404329681725148,0.0,8.477566003799438,176,0.75,1,,556.7567567567568,552.0,485.0,658.0,20600.0,48.088694331646415,13281.648648648648,13005.0,10176.0,16996.0,491421.0,1611.5190248853928,,,0.024158603082849325,0.5462068061200539,0.06043774780520481,0.9394412795779192
ID811393,811393,139,14.76388931274414,8.383557276464636,13.279732156007094,0.0,8.670237958431244,180,0.75,1,,547.0,539.0,487.0,618.0,20239.0,35.25620512760839,11067.027027027027,10683.0,9098.0,14782.0,409480.0,1372.1858978061748,,,0.02171375204296054,0.6594583823144771,-0.030641348860111987,-0.5098840225652087
ID811379,811379,139,12.275140762329102,8.214191143508474,12.52831861320132,0.0,8.573901981115341,178,0.75,1,,532.6756756756756,533.0,466.0,636.0,19709.0,32.49534501197744,12664.513513513513,12510.0,9299.0,16996.0,468587.0,2008.3865224162962,,,0.021295508311924845,0.6836098279907251,0.027812386387224344,0.3412680384219686
ID811592,811592,147,24.025890350341797,4.375851008977396,3.569025964327318,0.0,9.440925776958466,196,0.75,1,,576.081081081081,556.0,479.0,902.0,21315.0,85.50320928946935,9640.54054054054,9465.0,4482.0,14801.0,356700.0,3414.775229259807,,,0.04062124820001611,0.5260072952121454,0.04694205941586967,0.2531679646083433
ID811528,811528,147,20.129735946655273,4.384712061973018,3.5107556143736725,0.0,9.489093765616417,197,0.75,1,,557.8918918918919,544.0,488.0,738.0,20642.0,53.95408736642242,8285.216216216217,7513.0,3857.0,14801.0,306553.0,3376.0406801716967,,,0.03338378061976996,0.6680816932540801,0.002181054973750946,0.010681852939205974
ID811513,811513,147,28.115028381347656,4.401189190159938,3.5652311485028543,0.0,9.58542974293232,199,0.75,1,,583.4054054054054,575.0,460.0,796.0,21586.0,67.74111645713302,9640.54054054054,9465.0,4482.0,14801.0,356700.0,3414.775229259807,,,0.049951581759945206,0.8194605808025397,0.04694205941586967,0.2531679646083433
ID811498,811498,147,29.135290145874023,4.376295624064435,3.479455108549454,0.0,9.537261754274368,198,0.75,1,,605.4054054054054,564.0,488.0,978.0,22400.0,116.92601161500461,8285.216216216217,7513.0,3857.0,14801.0,306553.0,3376.0406801716967,,,0.06452859218424171,0.6277113963525589,0.002181054973750946,0.010681852939205974
ID811574,811574,147,39.72895812988281,4.446472638078019,3.5519169543456344,0.0,9.633597731590271,200,0.75,1,,588.8918918918919,559.0,481.0,839.0,21789.0,93.1312645271846,9640.54054054054,9465.0,4482.0,14801.0,356700.0,3414.775229259807,,,0.05597360597220798,0.6703479626020785,0.04694205941586967,0.2531679646083433
ID811479,811479,147,17.60326385498047,4.418411037208831,3.393500061571555,0.0,9.296421810984612,193,0.75,1,,549.9459459459459,534.0,473.0,690.0,20348.0,51.91978104406512,8285.216216216217,7513.0,3857.0,14801.0,306553.0,3376.0406801716967,,,0.02561030635147029,0.5289925373889103,0.002181054973750946,0.010681852939205974
ID811520,811520,147,23.82527732849121,4.488065219951084,3.487833793267106,0.0,9.681765720248222,201,0.75,1,,559.8918918918919,550.0,482.0,674.0,20716.0,52.385740099437044,8285.216216216217,7513.0,3857.0,14801.0,306553.0,3376.0406801716967,,,0.03254599087970364,0.673766142823233,0.002181054973750946,0.010681852939205974
ID811506,811506,147,27.74317741394043,4.598101031025851,3.370231091194903,0.0,9.392757788300514,195,0.75,1,,577.7837837837837,545.0,492.0,813.0,21378.0,75.80169125023792,9147.0,9284.0,4294.0,14801.0,338439.0,3377.4560692923897,,,0.043134575973455616,0.630378860888988,0.024695660041912537,0.13054033027337117
ID811491,811491,147,27.459863662719727,4.300021596322623,3.480401063485419,0.0,9.344589799642563,194,0.75,1,,584.7837837837837,553.0,483.0,910.0,21637.0,91.24361016748733,7358.378378378378,6140.0,3857.0,13989.0,272260.0,3102.556619157026,,,0.05114666294212484,0.6237015795333134,-0.02809995388329641,-0.1371438699923647
ID811548,811548,148,15.058441162109375,25.135817979076883,25.039422149120927,0.0,9.729933708906174,202,0.75,1,,572.1891891891892,581.0,492.0,629.0,21171.0,34.457572815338054,16304.351351351352,16311.0,15229.0,17612.0,603261.0,593.4229902399682,,,0.020262680857215925,0.659583623299607,0.030600564636859076,1.6315794161854251
ID811562,811562,148,12.457104682922363,25.588324295370384,25.185596522057065,0.0,9.92260566353798,206,0.75,1,,561.4324324324324,563.0,491.0,674.0,20773.0,44.24021583013239,15226.054054054053,15710.0,10065.0,17013.0,563364.0,1763.7186086023842,,,0.022771230783615436,0.5650908264265879,0.026176119998062172,0.44042446425190634
ID811558,811558,148,12.64463996887207,25.383596719683933,24.444484463405207,0.0,9.874437674880028,205,0.75,1,,545.4324324324324,536.0,478.0,618.0,20181.0,39.01961083903875,15908.702702702703,15942.0,13155.0,18875.0,588622.0,1012.5358392796898,,,0.016458418085662826,0.45267498274303164,0.02737231898608811,0.8372170990909069
ID811586,811586,148,14.301535606384277,24.621415380816565,24.531480595017683,0.0,9.826269686222076,204,0.75,1,,559.8378378378378,547.0,491.0,709.0,20714.0,49.051284677656795,16598.513513513513,16600.0,15033.0,18875.0,614145.0,919.1301328980577,,,0.021645497943198658,0.48362552333433406,0.026431737176208215,0.930074683401204
ID811539,811539,148,26.8632869720459,25.4088108953656,24.617103876929775,0.0,9.778101697564125,203,0.75,1,,597.4594594594595,578.0,509.0,739.0,22106.0,64.79265844668352,15908.702702702703,15942.0,13155.0,18875.0,588622.0,1012.5358392796898,,,0.046772579762076834,0.8240463201720145,0.02737231898608811,0.8372170990909069
ID811725,811725,156,23.65728187561035,25.946646870543006,23.205368106113742,0.0,10.789629459381104,224,0.75,1,,571.2162162162163,551.0,494.0,719.0,21135.0,56.84634999283162,15542.432432432432,15829.0,11568.0,17319.0,575070.0,1283.5480240450804,,,0.03225430751695706,0.6279556286637042,0.006843658056471195,0.16461261885420525
ID811791,811791,156,13.063958168029785,25.833271462931965,23.266162757713268,0.0,10.934133425354958,227,0.75,1,,556.7027027027027,553.0,482.0,632.0,20598.0,39.06893115227727,15542.432432432432,15829.0,11568.0,17319.0,575070.0,1283.5480240450804,,,0.026488652495013604,0.7354065752288741,0.006843658056471195,0.16461261885420525
ID811784,811784,156,20.48236656188965,25.929077227422543,23.222723562454384,0.0,11.319477334618568,235,0.75,1,,577.6216216216217,574.0,467.0,702.0,21372.0,47.93302697592835,15542.432432432432,15829.0,11568.0,17319.0,575070.0,1283.5480240450804,,,0.037410841554906524,0.8691310728405414,0.006843658056471195,0.16461261885420525
ID811717,811717,156,18.35228729248047,25.66136708870341,23.93513916380078,0.0,10.500621527433395,218,0.75,1,,568.0,559.0,489.0,737.0,21016.0,59.3670316290485,15438.324324324325,15508.0,12111.0,17057.0,571218.0,1125.8530852956212,,,0.030151892994785764,0.5600751644070858,0.010953583527078422,0.297148431300551
ID811910,811910,156,15.455862045288086,25.87212969063079,23.105686958425636,0.0,11.415813311934471,237,0.75,1,,562.6756756756756,552.0,484.0,689.0,20819.0,48.59701297065149,15809.486486486487,16101.0,11568.0,17649.0,584951.0,1161.95856260075,,,0.025554358251725865,0.5770120132279468,0.006925376689747519,0.18715577535786718
ID811650,811650,156,14.952006340026855,25.796683395070918,23.42402857224727,0.0,10.548789516091347,219,0.75,1,,562.2972972972973,560.0,482.0,696.0,20805.0,42.922323164360826,15245.756756756757,15699.0,10878.0,17319.0,564093.0,1428.7644896787456,,,0.03225794139985417,0.8187686162484173,0.0020839486147690945,0.044381424208590266
ID811843,811843,156,16.40411949157715,25.992317233736642,23.419770956801045,0.0,11.512149289250374,239,0.75,1,,571.8378378378378,573.0,494.0,684.0,21158.0,48.29683306474747,14813.216216216217,15356.0,10878.0,17319.0,548089.0,1645.2312930124772,,,0.04448811973749569,1.0086135000307916,6.223909675210574E-4,0.011200707618449107
ID811740,811740,156,14.490073204040527,25.830707654440378,23.483810168915824,0.0,10.885965436697006,226,0.75,1,,564.4324324324324,550.0,475.0,750.0,20884.0,59.78040395227099,15245.756756756757,15699.0,10878.0,17319.0,564093.0,1428.7644896787456,,,0.029327211531079315,0.5380224879189669,0.0020839486147690945,0.044381424208590266
ID811678,811678,156,21.048702239990234,26.091336996121445,23.248162053334543,0.0,10.6932934820652,222,0.75,1,,584.4054054054054,585.0,476.0,720.0,21623.0,51.26914789154902,15237.378378378378,15699.0,10878.0,17319.0,563783.0,1508.6040153317488,,,0.05678947830937523,1.2250886574536732,0.0091122510828605,0.18241106870284654
