LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID34851,34851,131,21.50423240661621,11.44361559565131,18.64295704920599,0.0,8.977179329842329,183,0.75,1,,574.2972972972973,568.0,510.0,666.0,21249.0,40.24636965330252,31978.135135135137,31587.0,25681.0,38442.0,1183191.0,3439.6132547631496,0.03796256677208039,1.0437919275878986,0.023375573279159567,0.4247180703652978
ID33060,33060,131,32.49654769897461,10.984997380880037,18.537699874033038,0.0,4.70933997631073,96,0.75,1,,602.0540540540541,590.0,504.0,765.0,22276.0,67.1589929222463,28940.08108108108,28512.0,20855.0,36646.0,1070783.0,4361.559566755263,0.05227122270053107,0.8906278494664003,-8.943791301649595E-4,-0.011879500645384155
ID33316,33316,131,34.92957305908203,11.019622333002227,18.582366787092443,0.0,5.199896223843098,106,0.75,1,,611.1891891891892,605.0,509.0,843.0,22614.0,72.45797166397675,28940.08108108108,28512.0,20855.0,36646.0,1070783.0,4361.559566755263,0.060130716891931876,0.9568777370687803,-8.943791301649595E-4,-0.011879500645384155
ID31781,31781,131,12.03356647491455,14.28683664807829,16.989329171502508,0.0,1.9622249901294708,40,0.75,1,,568.1891891891892,559.0,485.0,674.0,21023.0,48.079701097840214,38643.56756756757,38535.0,31492.0,45123.0,1429812.0,3542.8815762544705,0.02043467110300367,0.47330778606939267,0.035918029620736355,0.7563759053748249
ID34087,34087,131,27.291091918945312,11.044169286388447,18.457109954695234,0.0,7.1621212139725685,146,0.75,1,,582.5135135135135,593.0,492.0,673.0,21553.0,50.46925445898369,28940.08108108108,28512.0,20855.0,36646.0,1070783.0,4361.559566755263,0.04642478503240096,1.0241203479357137,-8.943791301649595E-4,-0.011879500645384155
ID34344,34344,131,20.673839569091797,11.359772604402378,18.214508632256752,0.0,7.75078871101141,158,0.75,1,,572.9459459459459,583.0,478.0,714.0,21199.0,49.918236450523075,33141.27027027027,33159.0,25681.0,41145.0,1226227.0,3831.2388310415313,0.03302964477622573,0.7339653049355623,0.04341030749828611,0.7197764943659194
ID34858,34858,131,27.09600067138672,11.02023937135419,18.29619186120058,0.0,9.075290579348803,185,0.75,1,,580.6486486486486,587.0,481.0,687.0,21484.0,50.74129165362939,29136.27027027027,29150.0,20855.0,36646.0,1078042.0,4811.89074439934,0.04457182501892244,0.9765714113221727,0.003356767570902617,0.040514835629813756
ID34605,34605,131,38.13885498046875,11.493454641497047,18.539788181684145,0.0,8.584734331816435,175,0.75,1,,613.3243243243244,605.0,517.0,820.0,22693.0,78.53698847395766,31978.135135135137,31587.0,25681.0,38442.0,1183191.0,3439.6132547631496,0.07091559128392064,1.03426642727847,0.023375573279159567,0.4247180703652978
ID32302,32302,131,35.657691955566406,10.9471656508578,18.25050539022347,0.0,2.9433374851942062,60,0.75,1,,610.2972972972973,589.0,500.0,842.0,22581.0,79.28950640422619,29136.27027027027,29150.0,20855.0,36646.0,1078042.0,4811.89074439934,0.057611400685792145,0.8385675230544893,0.003356767570902617,0.040514835629813756
ID33838,33838,131,33.7834358215332,11.05697100186748,18.470747872320725,0.0,6.181008718907833,126,0.75,1,,612.972972972973,597.0,507.0,833.0,22680.0,77.18465826491344,28940.08108108108,28512.0,20855.0,36646.0,1070783.0,4361.559566755263,0.0648452145687576,0.9672345121284578,-8.943791301649595E-4,-0.011879500645384155
